year,month_number,month,order_id,product_id,category,net_revenue
2025,1,January,1161,5,Electronics,7016.16
2025,1,January,1385,24,Fitness,6655.80
2025,1,January,1355,26,Beauty,6544.98
2025,1,January,1519,6,Electronics,6185.14
2025,1,January,1189,5,Electronics,5612.93
2025,1,January,1189,15,Kitchen,5595.78
2025,1,January,1533,24,Fitness,5546.50
2025,1,January,1453,7,Electronics,5346.23
2025,1,January,1412,7,Electronics,5241.40
2025,1,January,1061,26,Beauty,5181.44
2025,1,January,1178,10,"Home Office",5038.60
2025,1,January,1396,6,Electronics,4610.04
2025,1,January,1431,15,Kitchen,4429.99
2025,1,January,1002,18,Kitchen,4322.61
2025,1,January,1302,29,Beauty,4294.61
2025,1,January,1059,2,Electronics,4236.37
2025,1,January,1526,23,Fitness,4229.80
2025,1,January,1077,11,"Home Office",4174.86
2025,1,January,1329,11,"Home Office",4174.86
2025,1,January,1134,15,Kitchen,3730.52
2025,1,January,1554,15,Kitchen,3730.52
2025,1,January,1251,2,Electronics,3530.31
2025,1,January,1396,4,Electronics,3407.84
2025,1,January,1580,23,Fitness,3383.84
2025,1,January,1077,15,Kitchen,3170.94
2025,1,January,1315,26,Beauty,3108.87
2025,1,January,1458,8,Electronics,2893.15
2025,1,January,1179,24,Fitness,2828.72
2025,1,January,1455,2,Electronics,2824.25
2025,1,January,1137,11,"Home Office",2783.24
2025,1,January,1005,14,"Home Office",2776.77
2025,1,January,1061,4,Electronics,2555.88
2025,1,January,1554,28,Beauty,2551.06
2025,1,January,1021,15,Kitchen,2378.21
2025,1,January,1195,2,Electronics,2353.54
2025,1,January,1179,6,Electronics,2305.02
2025,1,January,1329,23,Fitness,2284.09
2025,1,January,1005,17,Kitchen,2232.06
2025,1,January,1458,18,Kitchen,2161.31
2025,1,January,1178,22,Fitness,2131.08
2025,1,January,1002,28,Beauty,2125.88
2025,1,January,1002,2,Electronics,2118.19
2025,1,January,1005,8,Electronics,2083.07
2025,1,January,1329,21,Fitness,1979.80
2025,1,January,1061,8,Electronics,1967.34
2025,1,January,1282,25,Beauty,1956.13
2025,1,January,1355,12,"Home Office",1904.86
2025,1,January,1410,17,Kitchen,1897.25
2025,1,January,1193,3,Electronics,1674.96
2025,1,January,1077,25,Beauty,1647.26
2025,1,January,1002,1,Electronics,1620.43
2025,1,January,1342,23,Fitness,1607.32
2025,1,January,1507,22,Fitness,1598.31
2025,1,January,1434,28,Beauty,1594.41
2025,1,January,1021,9,"Home Office",1544.75
2025,1,January,1134,25,Beauty,1544.31
2025,1,January,1251,4,Electronics,1363.14
2025,1,January,1519,28,Beauty,1355.25
2025,1,January,1260,21,Fitness,1336.37
2025,1,January,1569,19,Kitchen,1293.84
2025,1,January,1260,3,Electronics,1256.22
2025,1,January,1251,9,"Home Office",1235.80
2025,1,January,1342,6,Electronics,1229.34
2025,1,January,1569,1,Electronics,1215.32
2025,1,January,1134,21,Fitness,1187.88
2025,1,January,1554,5,Electronics,1169.36
2025,1,January,1569,8,Electronics,1157.26
2025,1,January,1021,3,Electronics,1116.64
2025,1,January,1431,18,Kitchen,1080.65
2025,1,January,1178,20,Fitness,1075.95
2025,1,January,1385,25,Beauty,1029.54
2025,1,January,1059,1,Electronics,1012.77
2025,1,January,1396,30,Electronics,999.00
2025,1,January,1342,9,"Home Office",988.64
2025,1,January,1061,10,"Home Office",987.96
2025,1,January,1458,5,Electronics,935.49
2025,1,January,1410,15,Kitchen,932.63
2025,1,January,1519,15,Kitchen,932.63
2025,1,January,1137,12,"Home Office",929.20
2025,1,January,1260,18,Kitchen,910.02
2025,1,January,1410,10,"Home Office",889.16
2025,1,January,1134,12,"Home Office",882.74
2025,1,January,1137,20,Fitness,860.76
2025,1,January,1137,4,Electronics,851.96
2025,1,January,1059,3,Electronics,837.48
2025,1,January,1580,3,Electronics,837.48
2025,1,January,1531,9,"Home Office",787.82
2025,1,January,1178,4,Electronics,724.17
2025,1,January,1569,11,"Home Office",695.81
2025,1,January,1507,4,Electronics,681.57
2025,1,January,1179,29,Beauty,673.66
2025,1,January,1260,14,"Home Office",657.66
2025,1,January,1282,13,"Home Office",657.24
2025,1,January,1282,16,Kitchen,652.39
2025,1,January,1455,1,Electronics,573.90
2025,1,January,1533,8,Electronics,520.77
2025,1,January,1554,3,Electronics,446.66
2025,1,January,1508,25,Beauty,411.82
2025,1,January,1209,27,Beauty,403.36
2025,1,January,1059,12,"Home Office",353.10
2025,1,January,1077,19,Kitchen,323.46
2025,1,January,1189,19,Kitchen,291.11
2025,1,January,1342,1,Electronics,270.07
2025,1,January,1193,27,Beauty,237.27
2025,1,January,1431,20,Fitness,215.19
2025,1,January,1161,27,Beauty,126.54
2025,2,February,1083,11,"Home Office",7653.91
2025,2,February,1452,18,Kitchen,6825.18
2025,2,February,1496,18,Kitchen,6483.92
2025,2,February,1457,2,Electronics,5883.85
2025,2,February,1079,7,Electronics,5660.71
2025,2,February,1408,24,Fitness,5546.50
2025,2,February,1568,26,Beauty,5454.15
2025,2,February,1199,2,Electronics,5295.47
2025,2,February,1216,10,"Home Office",5038.60
2025,2,February,1467,7,Electronics,4979.33
2025,2,February,1090,10,"Home Office",4939.80
2025,2,February,1020,10,"Home Office",4742.21
2025,2,February,1272,2,Electronics,4707.08
2025,2,February,1467,2,Electronics,4707.08
2025,2,February,1560,29,Beauty,4547.23
2025,2,February,1402,10,"Home Office",4445.82
2025,2,February,1478,24,Fitness,4437.20
2025,2,February,1436,26,Beauty,4363.32
2025,2,February,1452,26,Beauty,4363.32
2025,2,February,1408,29,Beauty,4210.40
2025,2,February,1513,10,"Home Office",4198.83
2025,2,February,1300,7,Electronics,4193.12
2025,2,February,1467,5,Electronics,3975.82
2025,2,February,1528,6,Electronics,3649.62
2025,2,February,1331,30,Electronics,3596.40
2025,2,February,1436,2,Electronics,3530.31
2025,2,February,1573,26,Beauty,3490.66
2025,2,February,1272,18,Kitchen,3412.59
2025,2,February,1238,4,Electronics,3407.84
2025,2,February,1528,23,Fitness,3383.84
2025,2,February,1020,30,Electronics,3196.80
2025,2,February,1139,10,"Home Office",3161.47
2025,2,February,1238,10,"Home Office",3161.47
2025,2,February,1272,6,Electronics,3073.36
2025,2,February,1467,6,Electronics,3073.36
2025,2,February,1408,7,Electronics,2987.60
2025,2,February,1560,5,Electronics,2981.87
2025,2,February,1496,2,Electronics,2824.25
2025,2,February,1066,30,Electronics,2697.30
2025,2,February,1573,7,Electronics,2673.11
2025,2,February,1517,25,Beauty,2496.63
2025,2,February,1478,25,Beauty,2470.90
2025,2,February,1124,5,Electronics,2338.72
2025,2,February,1560,4,Electronics,2300.29
2025,2,February,1273,23,Fitness,2284.09
2025,2,February,1551,2,Electronics,2235.86
2025,2,February,1049,17,Kitchen,2232.06
2025,2,February,1124,8,Electronics,2083.07
2025,2,February,1345,6,Electronics,2074.52
2025,2,February,1217,4,Electronics,2044.70
2025,2,February,1515,8,Electronics,1967.34
2025,2,February,1090,16,Kitchen,1957.18
2025,2,February,1066,7,Electronics,1886.90
2025,2,February,1155,5,Electronics,1870.98
2025,2,February,1139,21,Fitness,1781.82
2025,2,February,1528,22,Fitness,1775.90
2025,2,February,1568,15,Kitchen,1772.00
2025,2,February,1478,8,Electronics,1735.89
2025,2,February,1457,11,"Home Office",1704.73
2025,2,February,1090,17,Kitchen,1674.05
2025,2,February,1273,16,Kitchen,1630.98
2025,2,February,1457,19,Kitchen,1617.30
2025,2,February,1408,25,Beauty,1544.31
2025,2,February,1204,17,Kitchen,1488.04
2025,2,February,1452,16,Kitchen,1449.76
2025,2,February,1042,1,Electronics,1350.36
2025,2,February,1212,11,"Home Office",1322.04
2025,2,February,1513,25,Beauty,1312.66
2025,2,February,1490,20,Fitness,1291.14
2025,2,February,1513,2,Electronics,1176.77
2025,2,February,1054,5,Electronics,1169.36
2025,2,February,1473,1,Electronics,1147.81
2025,2,February,1414,2,Electronics,1117.93
2025,2,February,1313,17,Kitchen,1116.03
2025,2,February,1402,26,Beauty,1090.83
2025,2,February,1517,20,Fitness,1075.95
2025,2,February,1562,17,Kitchen,1060.23
2025,2,February,1029,24,Fitness,1053.84
2025,2,February,1042,24,Fitness,1053.84
2025,2,February,1090,20,Fitness,1032.91
2025,2,February,1212,1,Electronics,1012.77
2025,2,February,1481,28,Beauty,956.65
2025,2,February,1573,28,Beauty,956.65
2025,2,February,1496,19,Kitchen,921.86
2025,2,February,1414,20,Fitness,914.56
2025,2,February,1042,3,Electronics,893.31
2025,2,February,1217,3,Electronics,893.31
2025,2,February,1515,20,Fitness,860.76
2025,2,February,1139,3,Electronics,837.48
2025,2,February,1152,20,Fitness,774.68
2025,2,February,1528,29,Beauty,715.77
2025,2,February,1402,11,"Home Office",695.81
2025,2,February,1568,3,Electronics,669.98
2025,2,February,1152,13,"Home Office",547.70
2025,2,February,1079,28,Beauty,531.47
2025,2,February,1484,12,"Home Office",529.64
2025,2,February,1238,12,"Home Office",501.77
2025,2,February,1155,13,"Home Office",492.93
2025,2,February,1054,28,Beauty,478.32
2025,2,February,1496,8,Electronics,462.90
2025,2,February,1152,12,"Home Office",446.02
2025,2,February,1204,20,Fitness,430.38
2025,2,February,1217,13,"Home Office",416.25
2025,2,February,1414,27,Beauty,403.36
2025,2,February,1568,27,Beauty,379.63
2025,2,February,1199,20,Fitness,365.82
2025,2,February,1513,16,Kitchen,344.32
2025,2,February,1272,9,"Home Office",308.95
2025,2,February,1551,9,"Home Office",308.95
2025,2,February,1414,13,"Home Office",186.22
2025,2,February,1020,27,Beauty,158.18
2025,2,February,1124,27,Beauty,150.27
2025,2,February,1273,12,"Home Office",148.67
2025,2,February,1452,13,"Home Office",87.63
2025,3,March,1584,15,Kitchen,11191.56
2025,3,March,1349,18,Kitchen,9896.51
2025,3,March,1527,10,"Home Office",7310.90
2025,3,March,1435,5,Electronics,6665.35
2025,3,March,1432,2,Electronics,6354.56
2025,3,March,1288,5,Electronics,5963.74
2025,3,March,1499,15,Kitchen,5595.78
2025,3,March,1557,15,Kitchen,5595.78
2025,3,March,1133,26,Beauty,5563.23
2025,3,March,1349,7,Electronics,5241.40
2025,3,March,1371,4,Electronics,5111.76
2025,3,March,1497,30,Electronics,5094.90
2025,3,March,1166,29,Beauty,5052.48
2025,3,March,1244,15,Kitchen,5036.20
2025,3,March,1142,30,Electronics,4995.00
2025,3,March,1471,30,Electronics,4995.00
2025,3,March,1336,10,"Home Office",4939.80
2025,3,March,1370,5,Electronics,4677.44
2025,3,March,1584,26,Beauty,4636.03
2025,3,March,1435,30,Electronics,4245.75
2025,3,March,1368,5,Electronics,4209.70
2025,3,March,1581,26,Beauty,4145.15
2025,3,March,1166,2,Electronics,4001.02
2025,3,March,1403,11,"Home Office",3966.12
2025,3,March,1581,30,Electronics,3796.20
2025,3,March,1503,29,Beauty,3789.36
2025,3,March,1584,29,Beauty,3789.36
2025,3,March,1047,10,"Home Office",3754.25
2025,3,March,1535,15,Kitchen,3730.52
2025,3,March,1244,2,Electronics,3530.31
2025,3,March,1483,5,Electronics,3508.08
2025,3,March,1425,23,Fitness,3383.84
2025,3,March,1164,11,"Home Office",3339.89
2025,3,March,1363,26,Beauty,3272.49
2025,3,March,1306,9,"Home Office",3228.53
2025,3,March,1218,6,Electronics,3073.36
2025,3,March,1174,30,Electronics,2997.00
2025,3,March,1438,6,Electronics,2919.69
2025,3,March,1432,24,Fitness,2828.72
2025,3,March,1378,29,Beauty,2694.66
2025,3,March,1535,28,Beauty,2657.35
2025,3,March,1288,11,"Home Office",2644.08
2025,3,March,1012,25,Beauty,2625.33
2025,3,March,1483,15,Kitchen,2518.10
2025,3,March,1403,7,Electronics,2515.87
2025,3,March,1527,7,Electronics,2515.87
2025,3,March,1174,21,Fitness,2474.75
2025,3,March,1306,21,Fitness,2474.75
2025,3,March,1413,29,Beauty,2273.62
2025,3,March,1288,15,Kitchen,2238.31
2025,3,March,1557,20,Fitness,2151.90
2025,3,March,1535,7,Electronics,2096.56
2025,3,March,1370,6,Electronics,2074.52
2025,3,March,1245,5,Electronics,1987.91
2025,3,March,1446,21,Fitness,1979.80
2025,3,March,1483,17,Kitchen,1767.05
2025,3,March,1380,26,Beauty,1745.33
2025,3,March,1363,30,Electronics,1698.30
2025,3,March,1378,1,Electronics,1687.95
2025,3,March,1483,19,Kitchen,1649.65
2025,3,March,1047,9,"Home Office",1544.75
2025,3,March,1535,6,Electronics,1536.68
2025,3,March,1586,1,Electronics,1519.16
2025,3,March,1052,22,Fitness,1420.72
2025,3,March,1497,14,"Home Office",1388.39
2025,3,March,1380,19,Kitchen,1374.71
2025,3,March,1368,23,Fitness,1353.54
2025,3,March,1527,3,Electronics,1339.97
2025,3,March,1084,11,"Home Office",1322.04
2025,3,March,1052,20,Fitness,1291.14
2025,3,March,1368,17,Kitchen,1190.43
2025,3,March,1047,21,Fitness,1187.88
2025,3,March,1133,3,Electronics,1186.43
2025,3,March,1363,19,Kitchen,1164.46
