product_id,product_name,category,revenue,total_cost
5,Tablet,Electronics,75072.91,4008.66
10,"Office Chair","Home Office",65205.36,3024.84
24,"Water Bottle",Fitness,55575.93,4426.98
30,Laptop,Electronics,51348.60,2400.00
11,Lamp,"Home Office",50933.29,2607.54
10,"Office Chair","Home Office",50781.14,2016.56
24,"Water Bottle",Fitness,50195.83,3689.15
2,Monitor,Electronics,49718.53,4018.95
26,"Face Cream",Beauty,48760.10,4454.88
18,"Air Fryer",Kitchen,48060.64,2463.40
30,Laptop,Electronics,46703.25,3000.00
26,"Face Cream",Beauty,44996.74,3712.40
23,Treadmill,Fitness,44328.30,1798.88
18,"Air Fryer",Kitchen,43908.66,1970.72
23,Treadmill,Fitness,42128.81,2698.32
2,Monitor,Electronics,41657.66,4822.74
10,"Office Chair","Home Office",40753.35,2520.70
6,Headphones,Electronics,37341.32,3001.68
26,"Face Cream",Beauty,36433.72,2969.92
2,Monitor,Electronics,36244.52,3215.16
6,Headphones,Electronics,34882.64,2001.12
23,Treadmill,Fitness,34684.36,2248.60
2,Monitor,Electronics,32831.88,2411.37
18,"Air Fryer",Kitchen,31737.09,2956.08
6,Headphones,Electronics,31309.86,2501.40
5,Tablet,Electronics,30169.49,2672.44
11,Lamp,"Home Office",29397.97,2172.95
30,Laptop,Electronics,29070.90,3600.00
4,Mouse,Electronics,28881.44,2047.92
23,Treadmill,Fitness,28424.26,1349.16
26,"Face Cream",Beauty,27979.79,2227.44
11,Lamp,"Home Office",27554.08,1738.36
14,Whiteboard,"Home Office",26488.96,2434.40
4,Mouse,Electronics,26453.36,1023.96
30,Laptop,Electronics,25174.80,1800.00
17,Toaster,Kitchen,24999.07,1335.66
24,"Water Bottle",Fitness,24848.32,2951.32
14,Whiteboard,"Home Office",24552.53,2921.28
4,Mouse,Electronics,23428.90,1706.60
4,Mouse,Electronics,23343.70,1365.28
28,"Makeup Kit",Beauty,22720.34,1428.25
5,Tablet,Electronics,22627.12,2004.33
25,"Hair Dryer",Beauty,22392.50,1753.80
14,Whiteboard,"Home Office",21921.90,1947.52
5,Tablet,Electronics,20756.14,3340.55
25,"Hair Dryer",Beauty,20590.80,1169.20
8,Printer,Electronics,20309.91,1688.28
22,"Resistance Bands",Fitness,19712.49,943.20
19,Kettle,Kitchen,19407.60,742.32
18,"Air Fryer",Kitchen,18939.87,1478.04
2,Monitor,Electronics,17769.23,1607.58
14,Whiteboard,"Home Office",17464.45,973.76
28,"Makeup Kit",Beauty,17060.19,1713.90
4,Mouse,Electronics,16272.44,682.64
10,"Office Chair","Home Office",16153.15,1512.42
22,"Resistance Bands",Fitness,15627.92,628.80
25,"Hair Dryer",Beauty,14825.38,876.90
8,Printer,Electronics,14812.93,1125.52
20,"Yoga Mat",Fitness,14719.00,490.68
25,"Hair Dryer",Beauty,14670.95,1461.50
6,Headphones,Electronics,14406.38,1500.84
23,Treadmill,Fitness,14296.72,899.44
17,Toaster,Kitchen,14043.38,1113.05
8,Printer,Electronics,13887.12,1406.90
24,"Water Bottle",Fitness,13810.79,2213.49
28,"Makeup Kit",Beauty,13233.60,856.95
19,Kettle,Kitchen,13100.13,618.60
18,"Air Fryer",Kitchen,12967.84,985.36
30,Laptop,Electronics,12887.10,1200.00
6,Headphones,Electronics,12754.44,1000.56
5,Tablet,Electronics,12629.09,1336.22
3,Keyboard,Electronics,12227.21,706.44
26,"Face Cream",Beauty,11671.88,1484.96
9,Desk,"Home Office",11662.86,1073.10
22,"Resistance Bands",Fitness,11632.15,786.00
1,Laptop,Electronics,11343.02,1186.62
1,Laptop,Electronics,11005.43,791.08
24,"Water Bottle",Fitness,10649.28,1475.66
19,Kettle,Kitchen,10415.41,494.88
9,Desk,"Home Office",10195.35,1287.72
3,Keyboard,Electronics,10049.76,588.70
11,Lamp,"Home Office",9915.29,1303.77
28,"Makeup Kit",Beauty,9566.46,1142.60
17,Toaster,Kitchen,9523.46,890.44
24,"Water Bottle",Fitness,9262.66,737.83
20,"Yoga Mat",Fitness,9199.37,408.90
12,Notebook,"Home Office",8873.86,534.40
1,Laptop,Electronics,8659.18,593.31
3,Keyboard,Electronics,8500.42,353.22
17,Toaster,Kitchen,8370.23,667.83
