store_id,store_name,region,orders,customers,net_revenue
11,"Store 11",West,27,25,165546.30
3,"Store 3",West,26,22,140103.81
7,"Store 7",South,24,21,139209.57
6,"Store 6",East,25,23,137974.71
12,"Store 12",East,27,25,136542.64
1,"Store 1",Central,21,21,133853.66
10,"Store 10",Central,26,23,128644.58
14,"Store 14",Central,20,20,112013.48
8,"Store 8",East,22,21,110872.92
13,"Store 13",South,21,19,110144.93
2,"Store 2",South,21,19,98732.76
5,"Store 5",West,19,15,89537.55
9,"Store 9",Central,17,15,71936.77
15,"Store 15",South,15,14,70890.48
4,"Store 4",South,12,12,59194.54
