year,month_number,month,category,revenue
2025,1,January,Electronics,84780.84
2025,1,January,Kitchen,40065.94
2025,1,January,Fitness,36921.41
2025,1,January,Beauty,34786.38
2025,1,January,"Home Office",31463.07
2025,2,February,Electronics,108364.54
2025,2,February,"Home Office",45039.42
2025,2,February,Beauty,40074.71
2025,2,February,Kitchen,33985.49
2025,2,February,Fitness,28063.23
2025,3,March,Electronics,107993.48
2025,3,March,Kitchen,57202.95
2025,3,March,Beauty,44100.07
2025,3,March,"Home Office",41757.53
2025,3,March,Fitness,26870.35
2025,4,April,Electronics,61593.35
2025,4,April,"Home Office",47182.24
2025,4,April,Beauty,34832.82
2025,4,April,Kitchen,34008.84
2025,4,April,Fitness,33831.37
2025,5,May,Electronics,59751.94
2025,5,May,Beauty,48033.59
2025,5,May,"Home Office",38891.96
2025,5,May,Kitchen,36829.50
2025,5,May,Fitness,26117.82
2025,6,June,Electronics,92997.85
2025,6,June,Fitness,53906.43
2025,6,June,Kitchen,37664.75
2025,6,June,"Home Office",36926.29
2025,6,June,Beauty,34514.21
2025,7,July,Electronics,85159.66
2025,7,July,Fitness,68882.58
2025,7,July,Kitchen,42259.55
2025,7,July,"Home Office",41733.24
2025,7,July,Beauty,28611.30
