customer_id,order_id,month_order,unit_price_clean,quantity_clean,net_revenue,margin,discount_pct,product_id,category,unit_cost,store_id,store_name,region,campaign_id,campaign_name,budget,duration_days,start_date,end_date,stock_on_hand
1,1211,4,531.47,5,2258.75,36.77,15.00,28,Beauty,285.65,1,"Store 1",Central,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,98
1,1211,4,79.09,4,253.09,16.61,20.00,27,Beauty,52.76,1,"Store 1",Central,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,141
1,1211,4,362.44,4,1449.76,41.46,0.00,16,Kitchen,212.18,1,"Store 1",Central,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,83
3,1499,3,932.63,6,5595.78,49.79,0.00,15,Kitchen,468.32,14,"Store 14",Central,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,60
3,1499,3,185.84,2,371.68,42.49,0.00,12,"Home Office",106.88,14,"Store 14",Central,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,170
3,1499,3,308.95,3,880.51,26.88,5.00,9,"Home Office",214.62,14,"Store 14",Central,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,158
4,1315,1,1090.83,3,3108.87,28.35,5.00,26,Beauty,742.48,8,"Store 8",East,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,134
5,1093,6,845.96,2,1607.32,44.04,5.00,23,Fitness,449.72,10,"Store 10",Central,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,35
5,1093,6,730.73,2,1388.39,29.86,5.00,14,"Home Office",486.88,10,"Store 10",Central,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,150
5,1453,1,1048.28,6,5346.23,31.81,15.00,7,Electronics,607.61,6,"Store 6",East,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,26
7,1026,3,79.09,5,395.45,33.29,0.00,27,Beauty,52.76,13,"Store 13",South,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,131
8,1508,1,514.77,1,411.82,29.02,20.00,25,Beauty,292.30,8,"Store 8",East,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,51
8,1326,7,1137.53,5,4550.12,45.86,20.00,18,Kitchen,492.68,4,"Store 4",South,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,50
8,1326,7,308.95,3,926.85,30.53,0.00,9,"Home Office",214.62,4,"Store 4",South,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,49
8,1326,7,308.95,3,926.85,30.53,0.00,9,"Home Office",214.62,4,"Store 4",South,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,49
9,1442,4,308.95,2,617.90,30.53,0.00,9,"Home Office",214.62,1,"Store 1",Central,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,126
9,1442,4,337.59,5,1687.95,41.42,0.00,1,Electronics,197.77,1,"Store 1",Central,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,6
10,1481,2,531.47,2,956.65,40.28,10.00,28,Beauty,285.65,2,"Store 2",South,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,101
