entity,year,total_electricity_demand_pct,prev_year_demand,pct_increase
"Africa (IEA)",2020,0.12848516,NULL,NULL
"Asia Pacific (IEA)",2020,0.7189056,NULL,NULL
"World excl. United States and China",2020,0.66573197,NULL,NULL
China,2020,0.7987601,NULL,NULL
"Europe (IEA)",2020,1.4439007,NULL,NULL
"Middle East (IEA)",2020,0.0893597,NULL,NULL
World,2020,1.0066096,NULL,NULL
"United States",2020,2.6402705,NULL,NULL
"North America (IEA)",2020,2.2317514,NULL,NULL
"Central and South America (IEA)",2020,0.11703755,NULL,NULL
"United States",2023,3.6041856,2.6402705,36.50819489896963
"North America (IEA)",2023,3.0169368,2.2317514,35.18247596932167
"Europe (IEA)",2023,1.7518435,1.4439007,21.32714528083546
World,2023,1.2135375,1.0066096,20.556917001387625
"Asia Pacific (IEA)",2023,0.8408042,0.7189056,16.956134435452995
"World excl. United States and China",2023,0.7647388,0.66573197,14.87187553873973
China,2023,0.8898899,0.7987601,11.408907380326088
"Africa (IEA)",2023,0.13967681,0.12848516,8.710461192561091
"Middle East (IEA)",2023,0.09203735,0.0893597,2.9964849926756734
"Central and South America (IEA)",2023,0.08527997,0.11703755,-27.134522211033985
"United States",2024,4.1545305,3.6041856,15.269604872734627
"North America (IEA)",2024,3.4732153,3.0169368,15.123899844371957
China,2024,1.0129217,0.8898899,13.825508076898041
"Central and South America (IEA)",2024,0.096574366,0.08527997,13.243902407564164
"Asia Pacific (IEA)",2024,0.9321836,0.8408042,10.868095092769517
World,2024,1.3449625,1.2135375,10.829908428870153
"Middle East (IEA)",2024,0.101547584,0.09203735,10.333015889744752
"World excl. United States and China",2024,0.7960854,0.7647388,4.098994323290514
"Africa (IEA)",2024,0.14496955,0.13967681,3.7892761153408285
"Europe (IEA)",2024,1.7685213,1.7518435,0.952014263831207
"Middle East (IEA)",2025,0.28470466,0.101547584,180.3657642903646
"Africa (IEA)",2025,0.24995314,0.14496955,72.41768357561983
"Central and South America (IEA)",2025,0.11527643,0.096574366,19.365453561455436
"North America (IEA)",2025,4.1349845,3.4732153,19.05350353604626
"United States",2025,4.9384785,4.1545305,18.8697134369335
"Asia Pacific (IEA)",2025,1.0674341,0.9321836,14.50899801283782
World,2025,1.5264845,1.3449625,13.49643577423162
China,2025,1.1075455,1.0129217,9.341669746042577
"World excl. United States and China",2025,0.8636905,0.7960854,8.492191918103256
"Europe (IEA)",2025,1.8701056,1.7685213,5.744024683219822
